PROJECT,CLASS,COMPLEXITY,COUPLING
spring-roo,PgpServiceImpl,53,22
spring-roo,SignatureDecision,4,2
spring-roo,BundleSymbolicName,13,5
spring-roo,FelixDelegator,15,15
spring-roo,HttpPgpUrlStreamHandlerServiceImpl,4,9
spring-roo,JdkDelegatingLogListener,19,7
spring-roo,LogLevel,9,0
spring-roo,PsOptions,9,2
spring-roo,FileEvent,5,3
spring-roo,FileDetails,16,2
spring-roo,FileDetailsTest,1,2
spring-roo,FileMonitoringRequest,2,3
spring-roo,DirectoryMonitoringRequest,4,3
spring-roo,MonitoringRequest,7,3
spring-roo,MonitoringRequestEditor,14,4
spring-roo,MonitoringRequestEditorTest,17,7
spring-roo,MonitoringRequestTest,3,4
spring-roo,PollingFileMonitorComponent,2,5
spring-roo,PollingFileMonitorService,106,9
spring-roo,CreateDirectory,6,3
spring-roo,CreateFile,5,3
spring-roo,DefaultFilenameResolver,2,1
spring-roo,DefaultUndoManager,16,8
spring-roo,DeleteDirectory,11,3
spring-roo,DeleteFile,9,3
spring-roo,UndoEvent,5,1
spring-roo,UpdateFile,7,3
spring-roo,ObrCommands,7,8
spring-roo,SubsystemCommands,32,18
spring-roo,MetadataDependencyRegistryTracker,10,8
spring-roo,AbstractMetadataCache,11,2
spring-roo,DefaultMetadataDependencyRegistry,30,7
spring-roo,StandardMetadataTimingStatistic,11,1
spring-roo,DefaultMetadataDependencyRegistryTest,1,2
spring-roo,StandardMetadataTimingStatisticTest,5,2
spring-roo,AbstractHashCodeTrackingMetadataNotifier,11,9
spring-roo,DefaultMetadataLogger,19,6
spring-roo,MetadataDependency,5,0
spring-roo,DefaultMetadataService,42,15
spring-roo,MetadataIdentificationUtils,24,2
spring-roo,AbstractMetadataItem,3,1
spring-roo,DefaultMetadataServiceTest,1,1
spring-roo,MetadataIdentificationUtilsTest,40,1
spring-roo,GoogleJavaType,1,1
spring-roo,HibernateJavaType,1,1
spring-roo,JavaSymbolNameEditor,5,2
spring-roo,JpaJavaType,1,1
spring-roo,Jsr303JavaType,1,1
spring-roo,RooEnumDetails,1,1
spring-roo,RooJavaType,1,1
spring-roo,SpringEnumDetails,1,1
spring-roo,SpringJavaType,2,1
spring-roo,CustomDataImpl,14,2
spring-roo,ImportRegistrationResolverImpl,22,3
spring-roo,AbstractCustomDataAccessorBuilder,7,5
spring-roo,JavaSymbolName,57,3
spring-roo,CustomDataBuilder,12,3
spring-roo,JavaType,97,6
spring-roo,ReservedWords,18,2
spring-roo,JavaPackage,12,1
spring-roo,EnumDetails,4,2
spring-roo,JdkJavaType,9,1
spring-roo,AbstractCustomDataAccessorProvider,2,2
spring-roo,JavaPackageTest,6,2
spring-roo,JavaSymbolNameTest,2,2
spring-roo,JavaTypeTest,13,2
spring-roo,JdkJavaTypeTest,5,2
spring-roo,ReservedWordsTest,10,3
spring-roo,ObrBundle,24,2
spring-roo,ObrAddOnBundleSymbolicName,7,2
spring-roo,ObrAddOnBundleSymbolicNameConverter,3,9
spring-roo,ObrAddOnCommands,6,10
spring-roo,ObrAddonSearchOperationsImpl,71,22
spring-roo,ObrRepositoryCommands,4,7
spring-roo,ObrRepositoryOperationsImpl,23,19
spring-roo,AbstractProcessManagerStatusPublisher,5,4
spring-roo,DefaultFileManager,65,18
spring-roo,DefaultMutableFile,8,5
spring-roo,DefaultProcessManager,53,21
spring-roo,ManagedMessageRenderer,11,1
spring-roo,MonitoredOutputStream,4,3
spring-roo,MonitoringRequestCommand,3,3
spring-roo,ProcessManagerDiagnosticsListener,10,18
spring-roo,UndoableMonitoringRequest,7,4
spring-roo,ActiveProcessManager,3,1
spring-roo,ProcessManagerHostedExecutionStrategy,9,8
spring-roo,ProjectResource,14,20
spring-roo,Parent,6,0
spring-roo,ParentBuilder,7,3
spring-roo,PomFactoryImpl,19,20
spring-roo,Pom,78,14
spring-roo,Module,3,0
spring-roo,ModuleTest,3,2
spring-roo,PomTest,14,8
spring-roo,BundlePackaging,4,8
spring-roo,EarPackaging,2,5
spring-roo,EsaPackaging,3,7
spring-roo,WarPackaging,4,6
spring-roo,AbstractPackagingProvider,36,18
spring-roo,JarPackaging,5,7
spring-roo,AbstractCorePackagingProvider,4,3
spring-roo,PomPackaging,3,7
spring-roo,PackagingProviderRegistryImpl,8,7
spring-roo,JarPackagingTest,1,2
spring-roo,PackagingProviderRegistryTest,7,6
spring-roo,PackagingProviderTestCase,3,3
spring-roo,PomPackagingTest,1,2
spring-roo,ApplicationContextOperationsImpl,11,17
spring-roo,AutomaticProjectUpgradeService,16,10
spring-roo,DelegatePathResolver,21,8
spring-roo,FeatureNames,1,0
spring-roo,Filter,9,1
spring-roo,MavenCommands,28,20
spring-roo,MavenOperationsImpl,55,28
spring-roo,MavenProjectMetadataProvider,7,12
spring-roo,PathResolvingAwareFilenameResolver,1,5
spring-roo,ProjectCommands,30,21
spring-roo,ProjectPathMonitoringInitializer,12,13
spring-roo,ProjectType,3,1
spring-roo,Property,22,3
spring-roo,AbstractProjectOperations,173,26
spring-roo,DefaultPathResolvingStrategy,26,14
spring-roo,Resource,22,5
spring-roo,Repository,18,5
spring-roo,AbstractPathResolvingStrategy,10,8
spring-roo,MavenPathResolvingStrategy,24,10
spring-roo,Dependency,56,9
spring-roo,PomManagementServiceImpl,65,19
spring-roo,Configuration,10,4
spring-roo,PhysicalPath,7,3
spring-roo,Execution,19,6
spring-roo,Plugin,40,9
spring-roo,DependencyScope,4,3
spring-roo,MavenUtils,2,0
spring-roo,RepositoryTest,2,6
spring-roo,ProjectMetadata,9,3
spring-roo,Path,14,4
spring-roo,XmlTestCase,3,1
spring-roo,DependencyType,6,3
spring-roo,LogicalPath,16,3
spring-roo,GAV,11,1
spring-roo,DefaultPathResolvingStrategyTest,7,9
spring-roo,PomManagementServiceImplTest,12,16
spring-roo,ConfigurationTest,1,1
spring-roo,DependencyTest,15,7
spring-roo,DependencyTypeTest,4,1
spring-roo,ExecutionTest,5,9
spring-roo,GAVTest,7,2
spring-roo,LogicalPathTest,21,3
spring-roo,MavenOperationsImplTest,7,12
spring-roo,MavenPathResolvingStrategyTest,11,8
spring-roo,MavenUtilsTest,4,1
spring-roo,PathTest,1,1
spring-roo,PluginTest,11,9
spring-roo,ProjectMetadataTest,10,3
spring-roo,ResourceTest,1,6
spring-roo,PropFilesManagerServiceImpl,70,13
spring-roo,Activator,2,4
spring-roo,AnyServiceFilter,5,2
spring-roo,HttpTracker,6,8
spring-roo,JAXRSApplication,10,8
spring-roo,ResourceTracker,10,6
spring-roo,SettingsCommands,3,8
spring-roo,SettingsOperationsImpl,14,9
spring-roo,ProjectSettingsServiceImpl,16,14
spring-roo,ProjectSettingsServiceImplTest,2,3
spring-roo,AvailableCommandsConverter,5,4
spring-roo,StaticFieldConverterImpl,14,4
spring-roo,AbstractShellStatusPublisher,8,5
spring-roo,ShellStatus,22,3
spring-roo,CliSimpleParserContext,4,2
spring-roo,ExitShellRequest,2,1
spring-roo,NaturalOrderComparator,38,1
spring-roo,OptionContexts,1,0
spring-roo,ParseResult,20,2
spring-roo,ParserUtils,24,0
spring-roo,RooBundleActivatorImpl,7,6
spring-roo,ShellContextImpl,12,1
spring-roo,SimpleParser,274,24
spring-roo,AbstractShell,93,12
spring-roo,Completion,22,2
spring-roo,MethodTarget,11,2
spring-roo,CliOptionContext,4,0
spring-roo,AbstractShellTest,1,2
spring-roo,CliOptionContextTest,3,1
spring-roo,MethodTargetTest,5,2
spring-roo,SimpleParserTest,6,3
spring-roo,EclipseTerminal,1,1
spring-roo,JLineCompletorAdapter,2,3
spring-roo,JLineLogHandler,38,4
spring-roo,JLineShell,105,16
spring-roo,JLineShellComponent,6,10
spring-roo,AbstractFlashingObject,6,3
spring-roo,SimpleParserComponent,7,9
spring-roo,AddonSuiteCommands,7,10
spring-roo,AddonSuiteOperationsImpl,29,21
spring-roo,AddonSuiteSymbolicName,7,2
spring-roo,AddonSuiteSymbolicNameConverter,6,12
spring-roo,ObrAddonSuiteSymbolicName,7,2
spring-roo,ObrAddonSuiteSymbolicNameConverter,9,17
spring-roo,ObrRepositorySymbolicName,7,2
spring-roo,ObrRepositorySymbolicNameConverter,8,16
spring-roo,AntPatchStringMatcher,63,1
spring-roo,AntPathMatcher,54,2
spring-roo,DeferredLogHandler,17,0
spring-roo,HandlerUtils,16,1
spring-roo,LoggingOutputStream,7,0
spring-roo,BundleFindingUtils,8,3
spring-roo,UrlFindingUtils,11,4
spring-roo,OSGiUtils,20,6
spring-roo,MessageDisplayUtils,5,0
spring-roo,ObjectUtils,32,8
spring-roo,ReflectionUtils,79,5
spring-roo,XmlRoundTripUtils,48,6
spring-roo,XmlUtils,86,12
spring-roo,DomUtils,36,8
spring-roo,FileUtils,23,3
spring-roo,WebXmlUtils,78,11
spring-roo,XmlElementBuilder,5,4
spring-roo,AnsiEscapeCode,8,1
spring-roo,CollectionUtils,13,4
spring-roo,PairList,9,5
spring-roo,JdkUrlInputStreamService,10,6
spring-roo,RedirectServlet,3,3
spring-data-book,AbstractPersistentEntity,10,2
spring-data-book,Address,5,3
spring-data-book,Customer,10,7
spring-data-book,EmailAddress,8,2
spring-data-book,GemfireCustomerRepository,6,7
spring-data-book,Product,9,2
spring-data-book,LineItem,7,5
spring-data-book,Order,8,9
spring-data-book,DecompressTasklet,8,5
spring-data-book,ProductFieldSetMapper,1,4
spring-data-book,ProductJdbcItemWriter,3,3
spring-data-book,LaunchDatabaseAndConsole,1,0
spring-data-book,LaunchExportProductsJob,1,3
spring-data-book,LaunchSpringBatchAdmin,1,3
spring-data-book,Product,11,4
spring-data-book,FieldSetSqlParameterSourceProvider,1,6
spring-data-book,FieldSetConverter,2,5
spring-data-book,MongoItemWriter,6,4
spring-data-book,DatabaseSkipListener,3,4
spring-data-book,ProductProcessor,2,4
spring-data-book,BatchConfiguration,4,18
spring-data-book,ItemReaderBuilder,5,6
spring-data-book,AbstractHdfsItemWriter,22,5
spring-data-book,HdfsTextItemWriter,14,10
spring-data-book,SimpleAbstractHdfsItemWriter,22,5
spring-data-book,SimpleHdfsTextItemWriter,14,10
spring-data-book,LaunchImportProductsJob,1,3
spring-data-book,ProductRowMapper,1,3
spring-data-book,AbstractHdfsWriter,22,4
spring-data-book,CustomFileHandler,1,1
spring-data-book,FileExistsMode,2,1
spring-data-book,HdfsTextFileWriter,14,9
spring-data-book,HdfsTextFileWriterFactory,10,4
spring-data-book,HdfsWritingMessageHandler,12,7
spring-data-book,WordCount,4,8
spring-data-book,FilePolling,1,2
spring-data-book,FsShellWritingMessageHandler,37,16
spring-data-book,Ftp,1,2
spring-data-book,User,5,0
spring-data-book,UserApp,1,5
spring-data-book,UserRepository,4,10
spring-data-book,UserUtils,6,10
spring-data-book,AnalysisService,6,4
spring-data-book,HiveApp,1,4
spring-data-book,HiveAppWithApacheLogs,1,3
spring-data-book,HivePasswordRepository,8,8
spring-data-book,HiveTemplatePasswordRepository,3,5
spring-data-book,JdbcPasswordRepository,3,7
spring-data-book,PasswordService,2,3
spring-data-book,PigApp,1,2
spring-data-book,PigAppWithApacheLogs,1,2
spring-data-book,PigAppWithRepository,2,4
spring-data-book,PigPasswordRepository,4,2
spring-data-book,Wordcount,1,2
spring-data-book,ControlBusController,2,8
spring-data-book,Streaming,2,6
spring-data-book,ByteArrayLfSerializer,8,3
spring-data-book,SyslogTransformer,4,3
spring-data-book,AbstractEntity,9,4
spring-data-book,ApplicationConfig,2,3
spring-data-book,QueryDslCustomerRepository,23,29
spring-data-book,AbstractEntity,8,2
spring-data-book,JpaCustomerRepository,4,7
spring-data-book,InfrastructureConfig,3,10
spring-data-book,AbstractDocument,8,2
spring-data-book,MongoDbCustomerRepository,4,8
spring-data-book,RestWebApplicationInitializer,3,1
spring-data-book,SampleDataProvider,4,11
spring-data-book,ApplicationConversionServiceFactoryBean,5,8
spring-boot,SpringApplicationAdminMXBeanRegistrar,8,14
spring-boot,AnsiBackground,2,0
spring-boot,AnsiColor,2,0
spring-boot,AnsiColors,6,3
spring-boot,AnsiOutput,24,2
spring-boot,AnsiPropertySource,7,12
spring-boot,AnsiStyle,2,0
spring-boot,DefaultPropertyNamePatternsMatcher,20,3
spring-boot,InetAddressEditor,3,0
spring-boot,OriginCapablePropertyValue,9,5
spring-boot,PatternPropertyNamePatternsMatcher,3,1
spring-boot,PropertiesConfigurationFactory,45,21
spring-boot,PropertyNamePatternsMatcher,2,1
spring-boot,PropertyOrigin,3,3
spring-boot,PropertySourceUtils,8,6
spring-boot,PropertySourcesBinder,13,8
spring-boot,PropertySourcesPropertyValues,32,17
spring-boot,RelaxedBindingNotWritablePropertyException,3,2
spring-boot,RelaxedConversionService,7,11
spring-boot,RelaxedDataBinder,89,28
spring-boot,RelaxedNames,9,2
spring-boot,RelaxedPropertyResolver,15,5
spring-boot,StringToCharArrayConverter,1,3
spring-boot,YamlConfigurationFactory,22,14
spring-boot,YamlJavaBeanPropertyConstructor,6,5
spring-boot,ParentContextApplicationContextInitializer,5,12
spring-boot,ParentContextCloserApplicationListener,7,11
spring-boot,SpringApplicationBuilder,51,15
spring-boot,CloudFoundryVcapEnvironmentPostProcessor,25,8
spring-boot,CloudPlatform,6,3
spring-boot,AnsiOutputApplicationListener,4,6
spring-boot,ConfigFileApplicationListener,18,36
spring-boot,DelegatingApplicationContextInitializer,11,9
spring-boot,DelegatingApplicationListener,9,8
spring-boot,RandomValuePropertySource,20,6
spring-boot,JasperInitializer,8,7
spring-boot,JettyEmbeddedErrorHandler,5,6
spring-boot,JettyEmbeddedServletContainer,27,12
spring-boot,JettyEmbeddedServletContainerFactory,87,56
spring-boot,JettyEmbeddedWebAppContext,2,3
spring-boot,ServletContextInitializerConfiguration,2,5
spring-boot,AbstractConfigurableEmbeddedServletContainer,48,8
spring-boot,AbstractEmbeddedServletContainerFactory,40,5
spring-boot,AnnotationConfigEmbeddedWebApplicationContext,14,7
spring-boot,Compression,8,0
spring-boot,EmbeddedServletContainerCustomizerBeanPostProcessor,7,5
spring-boot,EmbeddedServletContainerException,1,0
spring-boot,EmbeddedServletContainerInitializedEvent,4,3
spring-boot,EmbeddedWebApplicationContext,39,21
spring-boot,InitParameterConfiguringServletContextInitializer,2,2
spring-boot,JspServlet,7,0
spring-boot,MimeMappings,20,2
spring-boot,PortInUseException,2,1
spring-boot,ServerPortInfoApplicationContextInitializer,10,11
spring-boot,Ssl,30,1
spring-boot,WebApplicationContextServletContextAwareProcessor,5,6
spring-boot,XmlEmbeddedWebApplicationContext,10,5
spring-boot,ConnectorStartFailedException,2,1
spring-boot,LazySessionIdGenerator,1,1
spring-boot,SkipPatternJarScanner,8,8
spring-boot,SslStoreProviderUrlStreamHandlerFactory,7,5
spring-boot,TomcatEmbeddedContext,11,5
spring-boot,TomcatEmbeddedServletContainer,46,16
spring-boot,TomcatEmbeddedServletContainerFactory,86,39
spring-boot,TomcatEmbeddedWebappClassLoader,25,3
spring-boot,TomcatErrorPage,9,4
spring-boot,TomcatResources,11,6
spring-boot,TomcatStarter,5,5
spring-boot,FileSessionPersistence,15,5
spring-boot,UndertowEmbeddedServletContainer,40,18
spring-boot,UndertowEmbeddedServletContainerFactory,89,38
spring-boot,ApplicationEnvironmentPreparedEvent,2,3
spring-boot,ApplicationFailedEvent,3,3
spring-boot,ApplicationPreparedEvent,2,3
spring-boot,ApplicationReadyEvent,2,3
spring-boot,ApplicationStartedEvent,1,2
spring-boot,EventPublishingRunListener,10,12
spring-boot,SpringApplicationEvent,3,2
spring-boot,ConfigurationWarningsApplicationContextInitializer,2,15
spring-boot,ContextIdApplicationContextInitializer,8,5
spring-boot,FileEncodingApplicationListener,5,6
spring-boot,TypeExcludeFilter,5,7
spring-boot,ConfigurationBeanFactoryMetaData,11,6
spring-boot,ConfigurationPropertiesBindingPostProcessor,53,48
spring-boot,ConfigurationPropertiesBindingPostProcessorRegistrar,2,4
spring-boot,EnableConfigurationPropertiesImportSelector,4,8
spring-boot,AbstractInjectionFailureAnalyzer,15,10
spring-boot,BeanCurrentlyInCreationFailureAnalyzer,11,10
spring-boot,BeanNotOfRequiredTypeFailureAnalyzer,3,4
spring-boot,BindFailureAnalyzer,2,4
spring-boot,ConnectorStartFailureAnalyzer,1,3
spring-boot,NoUniqueBeanDefinitionFailureAnalyzer,10,10
spring-boot,PortInUseFailureAnalyzer,1,3
spring-boot,ValidationExceptionFailureAnalyzer,2,4
spring-boot,AbstractFailureAnalyzer,6,5
spring-boot,FailureAnalysis,4,0
spring-boot,FailureAnalyzers,14,7
spring-boot,LoggingFailureAnalysisReporter,5,3
spring-boot,EnumerableCompositePropertySource,7,6
spring-boot,PropertiesPropertySourceLoader,4,5
spring-boot,PropertySourcesLoader,21,9
spring-boot,SpringApplicationJsonEnvironmentPostProcessor,18,10
spring-boot,YamlPropertySourceLoader,4,9
spring-boot,BuildProperties,10,1
spring-boot,GitProperties,15,2
spring-boot,InfoProperties,8,5
spring-boot,JsonComponentModule,14,13
spring-boot,JsonObjectDeserializer,15,12
spring-boot,JsonObjectSerializer,3,6
spring-boot,DatabaseDriver,18,1
spring-boot,BasicJsonParser,31,1
spring-boot,GsonJsonParser,6,6
spring-boot,JacksonJsonParser,4,6
spring-boot,JsonJsonParser,9,5
spring-boot,JsonParserFactory,6,7
spring-boot,JsonSimpleJsonParser,4,1
spring-boot,YamlJsonParser,6,1
spring-boot,AtomikosConnectionFactoryBean,4,5
spring-boot,AtomikosDataSourceBean,4,5
spring-boot,AtomikosDependsOnBeanFactoryPostProcessor,12,4
spring-boot,AtomikosProperties,38,2
spring-boot,AtomikosXAConnectionFactoryWrapper,1,4
spring-boot,AtomikosXADataSourceWrapper,1,2
spring-boot,BitronixDependentBeanFactoryPostProcessor,7,3
spring-boot,BitronixXAConnectionFactoryWrapper,1,4
spring-boot,BitronixXADataSourceWrapper,1,2
spring-boot,PoolingConnectionFactoryBean,10,12
spring-boot,PoolingDataSourceBean,11,8
spring-boot,DataSourceXAResourceRecoveryHelper,25,2
spring-boot,NarayanaBeanFactoryPostProcessor,7,3
spring-boot,NarayanaConfigurationBean,16,3
spring-boot,NarayanaDataSourceBean,12,1
spring-boot,NarayanaProperties,26,1
spring-boot,NarayanaRecoveryManagerBean,6,8
spring-boot,NarayanaXAConnectionFactoryWrapper,5,10
spring-boot,NarayanaXADataSourceWrapper,5,7
spring-boot,CommonsLoggingLiquibaseLogger,26,3
spring-boot,LiquibaseServiceLocatorApplicationListener,2,5
spring-boot,SpringPackageScanClassResolver,12,9
spring-boot,JavaLoggingSystem,20,9
spring-boot,SimpleFormatter,8,0
spring-boot,ColorConverter,14,10
spring-boot,ExtendedWhitespaceThrowablePatternConverter,4,6
spring-boot,Log4J2LoggingSystem,37,24
spring-boot,WhitespaceThrowablePatternConverter,4,5
spring-boot,DefaultLogbackConfiguration,8,21
spring-boot,ExtendedWhitespaceThrowableProxyConverter,1,2
spring-boot,LevelRemappingAppender,7,11
spring-boot,LogbackConfigurator,15,10
spring-boot,LogbackLoggingSystem,39,23
spring-boot,SpringBootJoranConfigurator,2,4
spring-boot,SpringProfileAction,11,7
spring-boot,SpringPropertyAction,9,6
spring-boot,WhitespaceThrowableProxyConverter,1,2
spring-boot,AbstractLoggingSystem,20,8
spring-boot,ClasspathLoggingApplicationListener,10,6
spring-boot,DeferredLog,24,4
spring-boot,LogFile,12,3
spring-boot,LoggerConfiguration,10,2
spring-boot,LoggerConfigurationComparator,4,1
spring-boot,LoggingApplicationListener,54,19
spring-boot,LoggingInitializationContext,2,2
spring-boot,LoggingSystem,13,7
spring-boot,LoggingSystemProperties,8,3
spring-boot,Slf4JLoggingSystem,13,4
spring-boot,SpringImplicitNamingStrategy,1,3
spring-boot,SpringJtaPlatform,4,4
spring-boot,SpringNamingStrategy,2,1
spring-boot,SpringPhysicalNamingStrategy,10,4
spring-boot,EntityManagerFactoryBuilder,4,6
spring-boot,ApplicationHome,34,1
spring-boot,ApplicationPid,14,2
spring-boot,ApplicationTemp,15,3
spring-boot,BeanDefinitionLoader,46,18
spring-boot,ClearCachesApplicationListener,4,3
spring-boot,DefaultApplicationArguments,7,3
spring-boot,ExitCodeEvent,2,1
spring-boot,ExitCodeGenerators,14,2
spring-boot,ImageBanner,21,9
spring-boot,ResourceBanner,19,7
spring-boot,SpringApplication,150,45
spring-boot,SpringApplicationBannerPrinter,14,10
spring-boot,SpringApplicationRunListeners,11,4
spring-boot,SpringBootBanner,3,2
spring-boot,SpringBootExceptionHandler,16,2
spring-boot,SpringBootVersion,3,0
spring-boot,StartupInfoLogger,33,3
spring-boot,ApplicationPidFileWriter,20,12
spring-boot,EmbeddedServerPortFileWriter,16,5
spring-boot,SystemProperties,5,1
spring-boot,ConcurrentReferenceCachingMetadataReaderFactory,7,6
spring-boot,RestTemplateBuilder,47,16
spring-boot,RootUriTemplateHandler,9,3
spring-boot,ApplicationContextHeaderFilter,2,5
spring-boot,OrderedCharacterEncodingFilter,2,2
spring-boot,OrderedHiddenHttpMethodFilter,2,2
spring-boot,OrderedHttpPutFormContentFilter,2,2
spring-boot,OrderedRequestContextFilter,2,2
spring-boot,AbstractFilterRegistrationBean,24,9
spring-boot,DelegatingFilterProxyRegistrationBean,6,8
spring-boot,ErrorPage,16,2
spring-boot,ErrorPageRegistrarBeanPostProcessor,7,5
spring-boot,FilterRegistrationBean,4,3
spring-boot,MultipartConfigFactory,11,1
spring-boot,RegistrationBean,14,3
spring-boot,ServletComponentHandler,7,4
spring-boot,ServletComponentRegisteringPostProcessor,10,13
spring-boot,ServletComponentScanRegistrar,6,7
spring-boot,ServletContextInitializerBeans,28,26
spring-boot,ServletListenerRegistrationBean,11,4
spring-boot,ServletRegistrationBean,20,7
spring-boot,WebFilterHandler,7,7
spring-boot,WebListenerHandler,2,4
spring-boot,WebServletHandler,6,7
spring-boot,ErrorPageFilter,37,19
spring-boot,ServletContextApplicationContextInitializer,6,5
spring-boot,ServletContextApplicationListener,4,7
spring-boot,SpringBootServletInitializer,14,13
spring-boot,SpringProfileDocumentMatcher,15,6
spring-boot,SpringApplicationLauncher,6,0
spring-boot,SpringApplicationWebApplicationInitializer,9,3
spring-boot,PackagedSpringApplicationLauncher,9,0
spring-boot,ArchiveCommand,2,27
spring-boot,JarCommand,1,3
spring-boot,ResourceMatcher,14,6
spring-boot,WarCommand,1,5
spring-boot,HelpCommand,17,11
spring-boot,HintCommand,19,6
spring-boot,VersionCommand,2,2
spring-boot,GrabCommand,1,8
spring-boot,Dependency,4,2
spring-boot,InitCommand,4,12
spring-boot,InitializrService,32,17
spring-boot,InitializrServiceMetadata,31,9
spring-boot,ProjectGenerationRequest,68,5
spring-boot,ProjectGenerationResponse,6,2
spring-boot,ProjectGenerator,29,4
spring-boot,ProjectType,7,0
spring-boot,ReportableException,2,0
spring-boot,ServiceCapabilitiesReportGenerator,18,4
spring-boot,GroovyGrabDependencyResolver,7,3
spring-boot,InstallCommand,2,4
spring-boot,Installer,20,6
spring-boot,UninstallCommand,2,5
spring-boot,CompilerOptionHandler,6,4
spring-boot,OptionHandler,15,9
spring-boot,OptionSetGroovyCompilerConfiguration,10,6
spring-boot,SourceOptions,18,1
spring-boot,AbstractCommand,7,4
spring-boot,CommandException,8,1
spring-boot,CommandRunner,50,7
spring-boot,HelpExample,3,0
spring-boot,NoHelpCommandArgumentsException,1,1
spring-boot,NoSuchCommandException,1,1
spring-boot,OptionParsingCommand,5,4
spring-boot,RunCommand,4,12
spring-boot,SpringApplicationRunner,14,4
spring-boot,AnsiString,9,5
spring-boot,ClearCommand,2,3
spring-boot,CommandCompleter,10,10
spring-boot,EscapeAwareWhiteSpaceArgumentDelimiter,18,3
spring-boot,ExitCommand,2,3
spring-boot,ForkProcessCommand,7,4
spring-boot,PromptCommand,3,3
spring-boot,RunProcessCommand,5,3
spring-boot,Shell,22,13
spring-boot,ShellCommand,2,2
spring-boot,ShellExitException,1,1
spring-boot,ShellPrompts,5,0
spring-boot,ExitStatus,7,1
spring-boot,TestCommand,2,8
spring-boot,TestFailedException,1,1
spring-boot,TestRunner,5,5
spring-boot,CachingCompilerAutoConfiguration,3,5
spring-boot,GroovyTemplatesCompilerAutoConfiguration,3,5
spring-boot,JUnitCompilerAutoConfiguration,3,5
spring-boot,JdbcCompilerAutoConfiguration,3,5
spring-boot,JmsCompilerAutoConfiguration,3,5
spring-boot,RabbitCompilerAutoConfiguration,3,5
spring-boot,ReactorCompilerAutoConfiguration,3,5
spring-boot,SpockCompilerAutoConfiguration,3,5
spring-boot,SpringBatchCompilerAutoConfiguration,3,5
spring-boot,SpringBootCompilerAutoConfiguration,8,9
spring-boot,SpringIntegrationCompilerAutoConfiguration,3,5
spring-boot,SpringMobileCompilerAutoConfiguration,3,5
spring-boot,SpringMvcCompilerAutoConfiguration,3,5
spring-boot,SpringRetryCompilerAutoConfiguration,3,5
spring-boot,SpringSecurityCompilerAutoConfiguration,3,5
spring-boot,SpringSecurityOAuth2CompilerAutoConfiguration,3,5
spring-boot,SpringSocialFacebookCompilerAutoConfiguration,3,5
spring-boot,SpringSocialLinkedInCompilerAutoConfiguration,3,5
spring-boot,SpringSocialTwitterCompilerAutoConfiguration,3,5
spring-boot,SpringTestCompilerAutoConfiguration,5,10
spring-boot,SpringWebsocketCompilerAutoConfiguration,3,5
spring-boot,TransactionManagementCompilerAutoConfiguration,3,5
spring-boot,CompositeDependencyManagement,6,3
spring-boot,DependencyManagementArtifactCoordinatesResolver,12,4
spring-boot,MavenModelDependencyManagement,5,4
spring-boot,SpringBootDependenciesDependencyManagement,3,3
spring-boot,AetherGrapeEngine,48,25
spring-boot,AetherGrapeEngineFactory,4,14
spring-boot,CompositeProxySelector,3,5
spring-boot,DefaultRepositorySystemSessionAutoConfiguration,8,9
spring-boot,DependencyResolutionContext,11,5
spring-boot,DependencyResolutionFailedException,1,0
spring-boot,DetailedProgressReporter,6,5
spring-boot,GrapeEngineInstaller,2,1
spring-boot,GrapeRootRepositorySystemSessionAutoConfiguration,3,5
spring-boot,RepositoryConfiguration,10,1
spring-boot,SettingsXmlRepositorySystemSessionAutoConfiguration,3,4
spring-boot,SummaryProgressReporter,12,4
spring-boot,MavenSettings,27,28
spring-boot,MavenSettingsReader,10,10
spring-boot,AnnotatedNodeASTTransformation,9,10
spring-boot,AstUtils,22,16
spring-boot,CompilerAutoConfiguration,5,7
spring-boot,DependencyAutoConfigurationTransformation,5,11
spring-boot,DependencyCustomizer,28,9
spring-boot,DependencyManagementBomTransformation,21,25
spring-boot,ExtendedGroovyClassLoader,19,13
spring-boot,GenericBomAstTransformation,18,20
spring-boot,GroovyBeansTransformation,3,10
spring-boot,GroovyCompiler,20,24
spring-boot,RepositoryConfigurationFactory,14,6
spring-boot,ResolveDependencyCoordinatesTransformation,14,8
spring-boot,SmartImportCustomizer,5,5
spring-boot,DefaultCommandFactory,1,2
spring-boot,SpringCli,9,3
spring-boot,Log,4,0
spring-boot,ResourceUtils,16,6
spring-boot,DelegateTestRunner,2,2
spring-boot,GroovyTemplate,6,3
spring-boot,SampleController,1,5
spring-boot,SampleTomEEDeployApplication,1,3
spring-boot,DevToolsDataSourceAutoConfiguration,1,22
spring-boot,DevToolsProperties,3,5
spring-boot,FileWatchingFailureHandler,3,6
spring-boot,HateoasObjenesisCacheDisabler,5,0
spring-boot,LocalDevToolsAutoConfiguration,0,23
spring-boot,OptionalLiveReloadServer,7,2
spring-boot,RemoteDevToolsAutoConfiguration,5,28
spring-boot,RemoteDevToolsProperties,9,3
spring-boot,TriggerFileFilter,2,0
spring-boot,ClassPathChangedEvent,3,2
spring-boot,ClassPathFileChangeListener,8,7
spring-boot,ClassPathFileSystemWatcher,7,8
spring-boot,ClassPathFolders,8,1
spring-boot,PatternClassPathRestartStrategy,4,3
